Ã­d;order;name
Azma-AI/roberta-base-emotion-classifier;1;Azma-AI
Mahendrakharra/Emotion_Classification_DistilBertBase_FT;2;Mahendrakharra
cardiffnlp/twitter-roberta-base-emotion-latest;3;cardiffnlp1
cardiffnlp/twitter-roberta-large-emotion-latest;4;cardiffnlp2
vibhorag101/roberta-base-emotion-prediction-phr;5;vibhorag101
meetplace1/emotiondetector;6;meetplace1
bdotloh/distilbert-base-uncased-go-emotion-empathetic-dialogues-context-v2;7;bdotloh
cardiffnlp/twitter-roberta-base-emotion-multilabel-latest;8;cardiffnlp3
jitesh/emotion-english;9;jitesh
wesleyacheng/twitter-emotion-classification-with-bert;10;wesleyacheng1
wesleyacheng/twitter-emotion-multilabel-classification-with-bert;11;wesleyacheng2
shalinialisha/bert-emotion;12;shalinialisha
ZachBeesley/Tweet-Emotion;13;ZachBeesley
cappuch/Emotions_BERT;14;cappuch
ayoubkirouane/BERT-Emotions-Classifier;15;ayoubkirouane
rahulmallah/autotrain-emotion-detection-1366352626;16;rahulmallah
elozano/tweet_emotion_eval;17;elozano
vamossyd/emtract-distilbert-base-uncased-emotion;18;vamossyd
finiteautomata/bertweet-base-sentiment-analysis;19;finiteautomata
siebert/sentiment-roberta-large-english;20;siebert
lxyuan/distilbert-base-multilingual-cased-sentiments-student;21;lxyuan
distilbert/distilbert-base-uncased-finetuned-sst-2-english;22;distilbert
cardiffnlp/twitter-roberta-base-sentiment-latest;23;cardiffnlp3
SamLowe/roberta-base-go_emotions;24;SamLowe
nikesh66/Sarcasm-Detection-using-BERT;25;nikesh66